id,车型,车号,终端号,经度,纬度,海拔,时间,是否库内,车次,速度,插入时间
11068,231,7099B,60046,112.1714704665,39.0681127088,1516.3226385554,2016/6/22 19:09:18,0,13,0,2016/6/22 19:09:20
11120,104,7583,10154,111.2329213687,38.9517556486,1033.9057571208,2016/6/22 19:09:23,0,13,0,2016/6/22 19:09:20
11269,207,783A,60674,112.1492010157,39.0643922542,1512.1531418283,2016/6/22 19:09:46,0,13,0,2016/6/22 19:09:50
11324,207,831A,60416,111.9658977004,39.048512968,1395.7270379262,2016/6/22 19:09:52,0,13,0,2016/6/22 19:09:50
11422,207,662B,60652,112.1486408623,39.0641595288,1412.6517323982,2016/6/22 19:10:07,0,13,0,2016/6/22 19:09:50
11514,207,1155B,10534,111.620832127,39.117060206,1265.2275604988,2016/6/22 19:10:21,0,13,0,2016/6/22 19:10:20
11669,207,1154B,10446,111.6177297473,39.115298518,1244.7695394652,2016/6/22 19:10:40,0,13,0,2016/6/22 19:10:50
11701,231,7101B,60104,112.1718895935,39.0682119948,1520.2261920972,2016/6/22 19:10:47,0,13,0,2016/6/22 19:10:50
11745,225,77B,10228,111.9563749812,39.0498699931,1343.1031392384,2016/6/22 19:10:50,0,13,0,2016/6/22 19:10:50
11757,231,7127A,60084,111.8391121351,39.0944017067,1296.842666883,2016/6/22 19:10:41,0,13,0,2016/6/22 19:10:50
11808,231,7088B,60154,111.8390478666,39.0947864218,1326.918127818,2016/6/22 19:11:00,0,13,0,2016/6/22 19:10:50
11858,231,7128B,60080,112.1662355766,39.0685952576,1519.2069510771,2016/6/22 19:11:10,0,13,0,2016/6/22 19:11:20
11929,231,7019A,13824,110.5985229935,39.0844676326,1168.3468843754,2016/6/22 19:10:37,0,13,0,2016/6/22 19:11:20
11931,225,9A,11452,112.1322889266,39.0584341484,1491.9948709765,2016/6/22 19:11:19,0,13,0,2016/6/22 19:11:20
11942,231,7126B,60126,112.1665957778,39.0686688318,1514.3151599513,2016/6/22 19:11:16,0,13,0,2016/6/22 19:11:20
11944,231,7011B,15138,110.5329164378,39.0525303261,1091.7112203315,2016/6/22 19:11:19,0,13,0,2016/6/22 19:11:20
11981,231,7103B,60112,112.1657519038,39.0676695827,1519.0099616973,2016/6/22 19:11:28,0,13,0,2016/6/22 19:11:20
12077,231,7018A,13844,110.5930707985,39.0814805381,1165.3183515081,2016/6/22 19:11:41,0,13,0,2016/6/22 19:11:50
12120,231,7102A,60098,111.4655912471,39.0682637178,1216.568153197,2016/6/22 19:11:45,0,13,0,2016/6/22 19:11:50
12312,225,75B,10224,111.1003936924,38.951102942,899.3804606348,2016/6/22 19:12:17,0,13,0,2016/6/22 19:12:20
12349,207,657B,11490,110.8724180331,39.0884174448,947.79548903,2016/6/22 19:12:21,0,13,0,2016/6/22 19:12:20
12472,225,76B,13638,111.0970817842,38.9521668146,895.9752004966,2016/6/22 19:12:35,0,13,0,2016/6/22 19:12:50
12476,225,78A,11418,111.9455322075,39.0505585255,1337.5886568492,2016/6/22 19:12:37,0,13,0,2016/6/22 19:12:50
12484,225,10A,10912,112.1293753652,39.0576910522,1490.8423918393,2016/6/22 19:12:40,0,13,0,2016/6/22 19:12:50
12652,231,7022A,13952,112.164983102,39.0674393806,1433.8142844951,2016/6/22 19:13:05,0,13,0,2016/6/22 19:12:50
12755,231,7020A,13908,110.5839479747,39.0780079821,1134.4266511388,2016/6/22 19:13:20,0,13,0,2016/6/22 19:13:20
12766,225,73B,10052,110.3103701141,39.1946370943,1026.8033051845,2016/6/22 19:13:22,0,13,0,2016/6/22 19:13:20
12795,225,74A,10112,110.3105452497,39.19438555,1026.5129080899,2016/6/22 19:13:27,0,13,0,2016/6/22 19:13:20
12839,207,654A,60460,111.996329168,39.0500391984,1371.307755338,2016/6/22 19:13:35,0,13,0,2016/6/22 19:13:50
13228,207,783A,60674,112.1559698917,39.0663252693,1503.6820586519,2016/6/22 19:13:59,0,13,12,2016/6/22 19:14:20
13342,207,662B,60652,112.1576495665,39.0661763376,1505.983259839,2016/6/22 19:14:24,0,13,12,2016/6/22 19:14:20
13447,207,1155B,10534,111.5823170544,39.0928597435,1249.7688600225,2016/6/22 19:14:37,0,13,0,2016/6/22 19:14:51
13564,231,7019A,13824,110.5761815384,39.077803798,1143.4054108365,2016/6/22 19:14:52,0,13,0,2016/6/22 19:14:51
13580,207,1154B,10446,111.5790733686,39.0920475755,1231.0130660301,2016/6/22 19:14:57,0,13,0,2016/6/22 19:14:51
13597,231,7127A,60084,111.8370974893,39.0954452986,1332.3715025652,2016/6/22 19:14:57,0,13,0,2016/6/22 19:14:51
13652,225,77B,10228,111.9317265378,39.0514651213,1332.3547309004,2016/6/22 19:15:06,0,13,0,2016/6/22 19:15:21
13776,231,7014A,13934,110.5064811206,39.028738542,1060.5361971054,2016/6/22 19:15:24,0,13,0,2016/6/22 19:15:21
13798,231,7128B,60080,112.1662484662,39.0685984791,1518.0522687426,2016/6/22 19:15:26,0,13,0,2016/6/22 19:15:21
